nome_unidade;id_unidade;cep;logradouro;bairro;curso;resultado;resultado_motivo;distancia_media;distancia_minima;distancia_maxima
ABEF- Associacao Beneficente Fidelidade;340;9784260;RUA ALTO DA BELA VISTA;MONTANHAO;CRECHE;DEFERIDO;DIFICULDADE DE ACESSO;1200;1100;1300
Aldino Pinotti, EMEB Prefeito;5;9761260;RUA NOVO HORIZONTE;INDUSTRIAL;FUND;DEFERIDO;DISTÂNCIA MAIOR QUE 1500 METROS;2014,285714;1900;2200
Aldino Pinotti, EMEB Prefeito;5;9784490;RUA CENTRAL;VILA SAO PEDRO;FUND;DEFERIDO;DISTÂNCIA MAIOR QUE 1500 METROS;2600;2600;2600
Alfredo Scarpelli, EMEB;6;9853700;RUA ARAGUAINA;COOPERATIVA;FUND;DEFERIDO;DIFICULDADE DE ACESSO;1300;1200;1400
Alfredo Scarpelli, EMEB;6;9853550;RUA MOSSORO ;SAO JORGE;FUND;DEFERIDO;DIFICULDADE DE ACESSO;1375;1300;1500
Alfredo Scarpelli, EMEB;6;9853550;RUA MOSSORO ;COOPERATIVA;FUND;DEFERIDO;DIFICULDADE DE ACESSO;1375;1300;1500
Alfredo Scarpelli, EMEB;6;9853690;RUA PERIMETRAL;COOPERATIVA;FUND;DEFERIDO;DIFICULDADE DE ACESSO;1316,666667;1300;1400
Alfredo Scarpelli, EMEB;6;9853570;RUA RORAIMA;COOPERATIVA;FUND;DEFERIDO;DISTÂNCIA MAIOR QUE 1500 METROS;1584,210526;1500;1700
Alfredo Scarpelli, EMEB;6;9853590;RUA ITAPERUNA;COOPERATIVA;FUND;DEFERIDO;DISTÂNCIA MAIOR QUE 1500 METROS;1725;1600;1800
Alfredo Scarpelli, EMEB;6;9853660;RUA CAMPO BELO;COOPERATIVA;FUND;INDEFERIDO;DISTÂNCIA MENOR QUE 1500 METROS;970;900;1000
Alfredo Scarpelli, EMEB;6;9853560;RUA PORTO ALEGRE;COOPERATIVA;FUND;DEFERIDO;DIFICULDADE DE ACESSO;1200;1100;1300
Alfredo Scarpelli, EMEB;6;9853705;RUA SAO JORGE;COOPERATIVA;FUND;DEFERIDO;DIFICULDADE DE ACESSO;1426,923077;1000;1800
Ana Henriqueta Clark Marim, EMEB;10;9171685;AVENIDA SAO TOMAS MOURO;DOS VIANAS;INF;DEFERIDO;DIFICULDADE DE ACESSO;1041,666667;500;1500
Ana Henriqueta Clark Marim, EMEB;10;9762310;AVENIDA SAO TOMAS MOURO;INDUSTRIAL;INF;DEFERIDO;DIFICULDADE DE ACESSO;1400;1300;1500
Alfredo Scarpelli, EMEB;6;9853710;RUA MACAPA;COOPERATIVA;FUND;DEFERIDO;DISTÂNCIA MAIOR QUE 1500 METROS;1630;1500;1800
Ana Henriqueta Clark Marim, EMEB;10;9784260;RUA ALTO DA BELA VISTA;MONTANHAO;INF;DEFERIDO;DIFICULDADE DE ACESSO;1200;1200;1200
Ana Henriqueta Clark Marim, EMEB;10;9765335;RUA ANTONIO GERONIMO DE FREITAS;MONTANHAO;INF;DEFERIDO;DIFICULDADE DE ACESSO;905;650;2100
Ana Henriqueta Clark Marim, EMEB;10;9784225;RUA BRAGANCA;MONTANHAO;INF;DEFERIDO;DIFICULDADE DE ACESSO;1060;700;1200
Ana Henriqueta Clark Marim, EMEB;10;9762290;RUA EDSON DE QUEIROZ;INDUSTRIAL;INF;DEFERIDO;DIFICULDADE DE ACESSO;895,7142857;750;1100
